SPECIES,Genus,sp,species_name
CALYCSTI,,,Calycocorsus stipitatus
CAMCESP,,,Campanula cespitosa
CAMP BAR,,,Campanula barbata
CAMP GLO,,,Campanula glomerata
CAMP PAT,,,Campanula patula
CAMP PER,,,Campanula persicifolia
CAMP RAU,,,Campanula rapunculus
CAMP ROI,,,Campanula rapunculoides
CAMP ROT,,,Campanula rotundifolia
CAMP SCH,,,Campanula scheuchzeri
CAMP TRA,,,Campanula trachelium
CARALBA,,,Carex alba
CARBIBI,,,Carlina biebersteinii
CARBRAC,,,Carex brachystachys
CARD ACA,,,Carduus acanthoides
CARD AMA,,,Cardamine amara
CARD BUL,,,Cardamine bulbifera
CARD CHE,Cardamine,chelidonia,Cardamine chelidonia
CARD CRI,,,Carduus crispus
CARD FLE,,,Cardamine flexuosa
CARD HEP,Cardamine,heptaphylla,Cardamine heptaphylla
CARD PRA,,,Cardamine pratensis
CARDEDE,,,Carduus defloratus
CARE PIL,,,Carex pilosa
CAREX  Z,,,Carex sp.
CARFERR,,,Carex ferruginea
CARFIRM,,,Carex firma
CARFLAE,,,Carex flavella
CARHUMI,,,Carex humilis
CARL ACA,,,Carlina acaulis
CARP BET,,,Carpinus betulus
CARTRIF,,,Cardamine trifolia
CARUMBR,,,Carex umbrosa
CAST SAT,,,Castanea sativa
CE ER,,,
CENT MON,,,Centaurea montana
CEPH LON,,,Cephalanthera longifolia
CEPH RUB,,,Cephalanthera rubra
CEPHLERZ,,,CEPHALANTHERA SP.
CERA HOL,,,Cerastium holosteoides
CHAE AUR,,,Chaerophyllum aureum
CHAE HIR,,,Chaerophyllum hirsutum
CHAM ANG,,,Chamaenerion angustifolium
CHAM CAL,,,Chamaedaphne calyculata
CHAMSUPI,,,Chamaecytisus supinus
CHLORSTA,,,Chlorocrepis staticifolia
CHRY ALT,,,Chrysosplenium alternifolium
CHRY OPP,,,Chrysosplenium oppositifolium
CICE ALP,,,Cicerbita alpina
CICH INT,,,Cichorium intybus
CIRC ALP,,,Circaea alpina
CIRC LUT,,,Circaea lutetiana
CIRERER,,,Cirsium eriophorum
CIRERIS,,,Cirsium erisithales
CIRS ACA,,,Cirsium acaule
CIRS ARV,,,Cirsium arvense
CIRS HEL,,,Cirsium helenioides
CIRS PAL,,,Cirsium palustre
CIRS VUL,,,Cirsium vulgare
CIRSIUMZ,,,Cirsium sp.
CLEM ALP,,,Clematis alpina
CLEM VIT,,,Clematis vitalba
CLIN VUL,,,Clinopodium vulgare
COLC AUT,,,Colchicum autumnale
COLU ARB,,,Colutea arborescens
CONO MAJ,,,Conopodium majus
CONV MAJ,,,Convallaria majalis
CORA TRI,,,Corallorhiza trifida
CORN MAS,,,Cornus mas
CORN SAN,,,Cornus sanguinea
CORN SUE,,,Cornus suecica
CORO EME,,,Coronilla emerus
CORY AVE,,,Corylus avellana
CORY CAV,,,Corydalis cava
COTO INT,,,Cotoneaster integerrimus
COTO TOM,,,Cotoneaster tomentosus
CRASSULZ,,,Crassula sp.
CRAT LAE,,,Crataegus laevigata
CRAT MON,,,Crataegus monogyna
CRAT OXY,,,Crataegus oxy
CREP LEO,Crepis,leontodontoides,Crepis leontodontoides
CREP PAL,,,Crepis paludosa
CRUC GLA,Cruciata,glabra,Cruciata glabra
CRUC LAE,,,Cruciata laevipes
CYCL HER,,,
CYCL REP,Cyclamen,repandum,Cyclamen repandum
CYCPURP,,,Cyclamen purpurascens
CYST FRA,,,Cystopteris fragilis
CYTI SCO,,,Cytisus scoparius
CYTI SES,Cytisus,sessilifolius,Cytisus sessilifolius
DABO CAN,,,
DACT FUC,,,Dactylorhiza fuchsii
DACT GLO,,,Dactylis glomerata
DACT MAC,,,Dactylorhiza maculata
DACT MAJ,,,Dactylorhiza majalis
