SPECIES,LISTSPE,Family,Genus,sp,Nomenclature,Full Sp Name,Kommentar
MYRT COM,BX_IT,Myrtaceae,Myrtus,communis,L.,Myrtus communis,
NARD STR,B4,,,,,Nardus stricta,
NEOT NID,B4,,,,,Neottia nidus-avis,
OENA PIM,B4,,,,,,"Art unbekannt, vielleicht Oenanthe pimpinelloides"
OENA PIN,B4,,,,,,"Art unbekannt, vielleicht Oenanthe pimpinelloides"
ORCH LAT,B4,,,,,,Art unbekannt
ORIG VUL,B4,,,,,Origanum vulgare,
OROB RET,B4,,,,,Orobanche reticulata,
OROBANCZ,B4,,,,,OROBANCHE SP.,
OROFLAV,BX_AT,,,,,Orobanche flava,
ORTH SEC,B4,,,,,Orthilia secunda,
OSTR CAR,BX_IT,Corylaceae,Ostrya,carpinifolia,Scop.,Ostrya carpinifolia,
OXAL ACE,B4,,,,,Oxalis acetosella,
PARI QUA,B4,,,,,Paris quadrifolia,
PELT SPE,BX_AT,,,,,PELTIGERA SP.,
PETA ALB,B4,,,,,Petasites albus,
PETA HYB,B4,,,,,Petasites hybridus,
PETPARA,BX_AT,,,,,Petasites paradoxus,
PEUAUST,BX_AT,,,,,Peucedanum austriacum,
PEUC OST,B4,,,,,Peucedanum ostruthium,
PEUCCERV,BX_AT,,,,,PEUCEDANUM CERVARIA,
PH SP.SP,B4,,,,,Phyteuma spicatum ssp. spicatum,
PHEG POL,BX_IT,,,,,,Art unbekannt
PHIL LAT,BX_IT,Oleaceae,Phillyrea,latifolia,L.,Phillyrea latifolia,
PHLE ALP,B4,,,,,Phleum alpinum,
PHLE PRA,B4,,,,,Phleum pratense,
PHYL CAE,B4,,,,,Phyllodoce caerulea,
PHYORBI,BX_AT,,,,,Phyteuma orbiculare,
PHYS COR,BX_IT,Umbelliferae,Physospermum,cornubiense,(L.) DC.,Physospermum cornubiense,
PHYT BET,BX_IT,Campanulaceae,Phyteuma,betonicifolium,Vill.,Phyteuma betonicifolium,
PHYT OVA,BX_IT,Campanulaceae,Phyteuma,ovatum,Honckeny,Phyteuma ovatum,
PHYT SPI,B4,,,,,Phyteuma spicatum,
PICE ABI,B4,,,,,Picea abies,
PIMP MAJ,B4,,,,,Pimpinella major,
PING ALP,B4,,,,,Pinguicula alpina,
PING VIL,B4,,,,,Pinguicula villosa,
PINU CEM,B4,,,,,Pinus cembra,
PINU PIN,BX_IT,Pinaceae,Pinus,pinaster,Aiton,Pinus pinaster,
PINU STR,B4,,,,,Pinus strobus,
PINU SYL,B4,,,,,Pinus sylvestris,
PLAT BIF,B4,,,,,Platanthera bifolia,
PLAT CHL,B4,,,,,Platanthera chlorantha,
PLATANT Z,B4,,,,,Platanthera sp.,Code anders in B4
POA    Z,B4,,,,,POA SP.,
POA  ANG,B4,,,,,Poa angustifolia,
POA  ANN,B4,,,,,Poa annua,
POA  NEM,B4,,,,,Poa nemoralis,
POA  PRA,B4,,,,,Poa pratensis,
POLAMBR,BX_AT,,,,,Polygala amara ssp. brachyptera,
POLCHAM,BX_AT,,,,,POLYGALA CHAMAEBUXUS,
POLY ACU,B4,,,,,Polystichum aculeatum,
POLY AM,BX_AT,,,,,Polygala amara,
POLY BIS,B4,,,,,Polygonum bistorta,
POLY LON,B4,,,,,Polystichum lonchitis,
POLY MUL,B4,,,,,Polygonatum multiflorum,
POLY ODO,B4,,,,,Polygonatum odoratum,
POLY SET,BX_IT,Dryopteridaceae,Polystichum,setiferum,(ForskÜl) Woynar,Polystichum setiferum,
POLY VER,B4,,,,,Polygonatum verticillatum,
POLY VIV,B4,,,,,Polygonum viviparum,
POLY VUE,B4,,,,,Polypodium vulgare,
POLYGALZ,B4,,,,,POLYGALA SP.,
POLYPODZ,B4,,,,,POLYPODIUM SP.,
POLYTUMZ,B4,,,,,POLYGONATUM SP.,
POPU TRA,B4,,,,,Populus tremula,
POPULUSZ,B4,,,,,POPULUS SP.,
POTE ERE,B4,,,,,Potentilla erecta,
POTE MIC,B4,,,,,Potentilla micrantha,
POTE PAL,B4,,,,,Potentilla palustris,
POTE STE,B4,,,,,Potentilla sterilis,
PREN PUR,B4,,,,,Prenanthes purpurea,
PRIAUBO,BX_AT,,,,,Primula auricula ssp. balbisii var. obristii,
PRICLUS,BX_AT,,,,,Primula clusiana,
PRIM ACA,B4,,,,,,Art unbekannt
PRIM ELA,B4,,,,,Primula elatior,
PRIM VER,B4,,,,,Primula veris,
PRIM VUL,B4,,,,,Primula vulgaris,
PRUN AVI,B4,,,,,Prunus avium,
PRUN PAD,B4,,,,,Prunus padus,
PRUN SPI,B4,,,,,Prunus spinosa,
PRUN VUL,B4,,,,,Prunella vulgaris,
PRUNUS Z,B4,,,,,PRUNUS SP.,
PTER AQU,B4,,,,,Pteridium aquilinum,
PULKERN,BX_AT,,,,,Pulmonaria kerneri,
PULM APE,BX_IT,,,,,,Art unbekannt
PULM OFF,B4,,,,,Pulmonaria officinalis,
PULS MON,BX_IT,Ranunculaceae,Pulsatilla,montana,(Hoppe) Reichenb.,Pulsatilla montana,
PYRO CHL,B4,,,,,Pyrola chlorantha,
PYRO MIN,B4,,,,,Pyrola minor,
PYRO ROT,B4,,,,,Pyrola rotundifolia,
PYROLA Z,B4,,,,,PYROLA SP.,
PYRU COM,B4,,,,,Pyrus communis,
PYRU PYR,B4,,,,,Pyrus pyraster,
PYRUS Z,B4,,,,,Pyrus sp.,Code anders in B4
QUER CER,B4,,,,,Quercus cerris,
QUER ILE,BX_IT,Fagaceae,Quercus,ilex,L.,Quercus ilex,
QUER PET,B4,,,,,Quercus petraea,
QUER PUB,B4,,,,,Quercus pubescens,
QUER PYR,B4,,,,,,"Art unbekannt, viell. Quercus pyrenaica"
QUER ROB,B4,,,,,Quercus robur,
QUER RUB,B4,,,,,Quercus rubra,
RANU ACR,B4,,,,,Ranunculus acris,
RANU FIC,B4,,,,,Ranunculus ficaria,
RANU LAN,B4,,,,,Ranunculus lanuginosus,
RANU MON,B4,,,,,Ranunculus monophyllus,
RANU NEM,B4,,,,,Ranunculus nemorosus,
RANU RNS,B4,,,,,Ranunculus repens,
RANU SER,B4,,,,,,Art unbekannt; nicht in B4
RANU TUB,B4,,,,,,Art unbekannt; nicht in B4
RANUNCUZ,B4,,,,,RANUNCULUS SP.,
REIC*RIV,B4,,,,,Viola reichenbachiana * riviniana,
RHAM CAT,B4,,,,,Rhamnus catharticus,
RHIN MIN,B4,,,,,Rhinanthus minor,
RHOCHAM,BX_AT,,,,,Rhodothamnus chamaecistus,
RHOD FER,BX_IT,Ericaceae,Rhododendron,ferrugineum,L.,Rhododendron ferrugineum,
RHOHIRS,BX_AT,,,,,Rhododendron hirsutum,
RIBE UVA,B4,,,,,Ribes uva-crispa,
ROBI PSE,B4,,,,,Robinia pseudacacia,
ROSA   Z,B4,,,,,ROSA SP.,
ROSA CAN,B4,,,,,Rosa canina,
ROSA SEM,BX_IT,Rosaceae,Rosa,sempervirens,L.,Rosa sempervirens,
ROSARVE,BX_AT,Rosaceae,Rosa,arvensis,Hudson,Rosa arvensis,
ROSPEND,BX_AT,Rosaceae,Rosa,pendulina,L.,Rosa pendulina,
RUBHIRT,BX_AT,Rosaceae,Rubus,hirtus,Waldst. & Kit.,Rubus hirtus,
RUBI PER,BX_IT,Rubiaceae,Rubia,peregrina,L.,Rubia peregrina,
RUBU ARC,B4,,,,,Rubus arcticus,
RUBU CAE,B4,,,,,Rubus caesius,
RUBU CHM,B4,,,,,Rubus chamaemorus,
RUBU IDA,B4,,,,,Rubus idaeus,
RUBU SAX,B4,,,,,Rubus saxatilis,
RUBU ULM,B4,,,,,Rubus ulmifolius,
RUBU/COR,B4,,,,,Rubus corylifolius COLL,
RUBU/FRU,B4,,,,,Rubus fruticosus COLL,
RUBUBIFR,BX_AT,,,,,RUBUS BIFRONS,
RUBUS  Z,B4,,,,,RUBUS SP.,
RUME ALA,B4,,,,,Rumex acetosella,
RUME ASA,B4,,,,,Rumex acetosa,
RUME OBT,B4,,,,,Rumex obtusifolius,
RUSC ACU,B4,Liliaceae,Ruscus,aculeatus,L.,Ruscus aculeatus,
RUSC ACU,BX_IT,Liliaceae,Ruscus,aculeatus,L.,Ruscus aculeatus,
SALAPPE,BX_AT,,,,,Salix appendiculata,
SALGLAB,BX_AT,,,,,Salix glabra,
SALI AUR,B4,,,,,Salix aurita,
SALI CAP,B4,,,,,Salix caprea,
SALI CIN,B4,,,,,Salix cinerea,
SALI GAU,B4,,,,,Salix glauca,
SALI LAP,B4,,,,,Salix lapponum,
SALI MFL,B4,,,,,Salix myrsinifolia,
SALI PHY,B4,,,,,Salix phylicifolia,
SALI SIL,BX_PO,,,,,Salix silesiaca,
SALIX  Z,B4,,,,,SALIX SP.,
SALV GLU,B4,,,,,Salvia glutinosa,
SAMB NIG,B4,,,,,Sambucus nigra,
SAMB RAC,B4,,,,,Sambucus racemosa,
SANI EUR,B4,,,,,Sanicula europaea,
SAXI CUN,BX_IT,Saxifragaceae,Saxifraga,cuneifolia,L.,Saxifraga cuneifolia,
SAXI HIR,B4,,,,,Saxifraga hirculus,
SCALUCI,BX_AT,,,,,Scabiosa lucida,
SCHE PAL,B4,,,,,Scheuchzeria palustris,
SCIL BIF,B4,,,,,Scilla bifolia,
SCIL LIL,B4,,,,,,eine Scilla Art
SCIR CES,B4,,,,,Scirpus cespitosus,
SCIR SYL,B4,,,,,Scirpus sylvaticus,
SCRO ALP,B4,,,,,,Art unbekannt
SCRO NOD,B4,,,,,Scrophularia nodosa,
SCUT COL,BX_IT,Labiatae,Scutellaria,columnae,All.,Scutellaria columnae,
SEDU CEP,BX_IT,Crassulaceae,Sedum,cepaea,L.,Sedum cepaea,
SELA SEL,B4,,,,,Selaginella selaginoides,
SENE FUC,B4,,,,,Senecio fuchsii,
SENE NEM,B4,,,,,Senecio nemorensis,
SENE SYL,B4,,,,,Senecio sylvaticus,
SENGEGL,BX_AT,,,,,Senecio germanicus ssp. glabratus,
SENSUBA,BX_AT,,,,,Senecio subalpinus,
SERR TIN,B4,,,,,Serratula tinctoria,
SESL ALB,B4,,,,,Sesleria albicans,
SILE DIO,B4,,,,,Silene dioica,
SILE ITA,B4,,,,,Silene italica,
SILE VIR,BX_IT,Caryophyllaceae,Silene,viridiflora,L.,Silene viridiflora,
SILE VUL,B4,,,,,Silene vulgaris,
SMIL ASP,BX_IT,Liliaceae,Smilax,aspera,L.,Smilax aspera,
SO AU.AU,B4,,,,,Sorbus aucuparia ssp. aucuparia,
SO VI.VI,B4,,,,,Solidago virgaurea ssp. virgaurea,
SOLA DUL,B4,,,,,Solanum dulcamara,
SOLD CAR,BX_PO,,,,,Soldanella carpatica,
SOLD MON,B4,,,,,Soldanella montana,
SOLI VIR,B4,,,,,Solidago virgaurea,
SORAUST,BX_AT,,,,,Sorbus austriaca,
SORB ARI,B4,,,,,Sorbus aria,
SORB AUC,B4,,,,,Sorbus aucuparia,
SORB DOM,BX_IT,Rosaceae,Sorbus,domestica,L.,Sorbus domestica,
SORB INT,B4,,,,,Sorbus intermedia,
SORB TOR,B4,,,,,Sorbus torminalis,
STAC OFF,B4,,,,,Stachys officinalis,
STAC PAL,B4,,,,,Stachys palustris,
STAC SYL,B4,,,,,Stachys sylvatica,
STEL ALS,B4,,,,,Stellaria alsine,
STEL GRA,B4,,,,,Stellaria graminea,
STEL MED,B4,,,,,Stellaria media,
STEL NEM,B4,,,,,Stellaria nemorum,
STEL ULI,B4,,,,,Stellaria uliginosa,
STREAMPL,BX_PO,,,,,Streptopus amplexifolius,
SYMTUBE,BX_AT,Boraginaceae,Symphytum,tuberosum,L.,Symphytum tuberosum,
T/OFFICI,B4,,,,,Taraxacum officinale COLL,
TAMU COM,BX_IT,Dioscoreaceae,Tamus,communis,L.,Tamus communis,
TANA COR,B4,,,,,Tanacetum corymbosum,
TARAXACZ,B4,,,,,TARAXACUM SP.,
TAXU BAC,B4,,,,,Taxus baccata,
TEUC CHA,B4,,,,,Teucrium chamaedrys,
TEUC SBI,B4,,,,,,
TEUC SDO,B4,,,,,Teucrium scorodonia,
TEUC SIC,BX_IT,,,,,,Art unbekannt
THAL AQU,B4,,,,,Thalictrum aquilegifolium,
THEL LIM,B4,,,,,Thelypteris limbosperma,
THEL PHE,B4,,,,,Thelypteris phegopteris,
THES ALP,B4,,,,,Thesium alpinum,
THESIUM Z,B4,,,,,Thesium sp.,Code anders in B4
THYM PRA,B4,,,,,Thymus praecox,
TILI COR,B4,,,,,Tilia cordata,
TOFI CAL,B4,,,,,Tofieldia calyculata,
TRIALPE,BX_AT,,,,,Trisetum alpestre,
TRIE EUR,B4,,,,,Trientalis europaea,
TRIF HYB,B4,,,,,Trifolium hybridum,
TRIF OCH,BX_IT,Leguminosae,Trifolium,ochroleucon,Hudson,Trifolium ochroleucon,
TRIF PRA,B4,,,,,Trifolium pratense,
TRIF REP,B4,,,,,Trifolium repens,
TRIS FLA,B4,,,,,Trisetum flavescens,
TROC NOD,BX_IT,Umbelliferae,Trochiscanthes,nodiflora,(Vill.) Koch,Trochiscanthes nodiflora,
TROL EUR,B4,,,,,Trollius europaeus,
TUSS FAR,B4,,,,,Tussilago farfara,
ULEX GAL,B4,,,,,Ulex gallii,nicht in B4
ULMU GLA,B4,,,,,Ulmus glabra,
ULMU MIN,B4,,,,,Ulmus minor,
URTI DIO,B4,,,,,Urtica dioica,
VACC MIC,B4,,,,,Vaccinium microcarpum,
VACC MYR,B4,,,,,Vaccinium myrtillus,
VACC OXY,B4,,,,,Vaccinium oxycoccos,
VACC ULI,B4,,,,,Vaccinium uliginosum,
VACC VIT,B4,,,,,Vaccinium vitis-idaea,
VALE TRI,BX_IT,Valerianaceae,Valeriana,tripteris,L.,Valeriana tripteris,
VALEECAR,BX_AT,,,,,Valerianella carinata,
VALMONT,BX_AT,,,,,Valeriana montana,
VALSAXA,BX_AT,,,,,Valeriana saxatilis,
VALWALL,BX_AT,,,,,Valeriana wallrothii,
VE SE.SE,B4,,,,,Veronica serpyllifolia ssp. serpyllifolia,
VERA ALB,B4,,,,,Veratrum album,
VERB OFF,B4,,,,,Verbena officinalis,
VERB THA,B4,,,,,Verbascum thapsus,
VERO CHA,B4,,,,,Veronica chamaedrys,
VERO MON,B4,,,,,Veronica montana,
VERO OFF,B4,,,,,Veronica officinalis,
VERO SCU,B4,,,,,Veronica scutellata,
VERO URT,BX_IT,Scrophulariaceae,Veronica,urticifolia,Jacq.,Veronica urticifolia,
VERONICZ,B4,,,,,VERONICA SP.,
VEROVIND,BX_AT,,,,,VERONICA VINDOBONENSIS,
VIBU LAN,B4,,,,,Viburnum lantana,
VIBU OPU,B4,,,,,Viburnum opulus,
VIBU TIN,BX_IT,Caprifoliaceae,Viburnum,tinus,L.,Viburnum tinus,
VICI CRA,B4,,,,,Vicia cracca,
VICI SEP,B4,,,,,Vicia sepium,
VICIA  Z,B4,,,,,VICIA SP.,
VINC HIR,B4,,,,,Vincetoxicum hirundinaria,
VINC MIN,B4,,,,,Vinca minor,
VIOL ALB,B4,,,,,Viola alba,
VIOL BIF,B4,,,,,Viola biflora,
VIOL HIR,B4,,,,,Viola hirta,
VIOL MIR,B4,,,,,Viola mirabilis,
VIOL ODO,B4,,,,,Viola odorata,
VIOL PAL,B4,,,,,Viola palustris,
VIOL REI,B4,,,,,Viola reichenbachiana,
VIOL RIV,B4,,,,,Viola riviniana,
VIOLA  Z,B4,,,,,VIOLA SP.,
VISC ALB,B4,,,,,Viscum album,
VISCUM Z,B4,,,,,VISCUM SP.,
VITI VIN,BX_IT,Vitaceae,Vitis,vinifera,L.,Vitis vinifera,
