SPECIES,LISTSPE,Family,Genus,sp,Nomenclature,Full Sp Name,Kommentar
C CARYO,B4,,,,,Carex caryophyllea,"""C CARYOP"" in B4"
C DEMISS,B4,,,,,Carex demissa,
C DIGITA,B4,,,,,Carex digitata,
C DISTAN,B4,,,,,Carex distans,
C DISTIC,B4,,,,,Carex disticha,
C ECHINA,B4,,,,,Carex echinata,
C FLACCA,B4,,,,,Carex flacca,
C FLAVA,B4,,,,,Carex flava,
C GLOBUL,B4,,,,,Carex globularis,
C HIRTA,B4,,,,,Carex hirta,
C LASIOC,B4,,,,,Carex lasiocarpa,
C LEPIDO,B4,,,,,Carex lepidocarpa,
C LEPORI,B4,,,,,Carex leporina,
C LIMOSA,B4,,,,,Carex limosa,
C MAGELL,B4,,,,,Carex magellanica,
C MICHEL,BX_AT,,,,,CAREX MICHELII,
C MONTAN,B4,,,,,Carex montana,
C MURICA,B4,,,,,Carex muricata,
C NIGRA,B4,,,,,Carex nigra,
C OLBIE,BX_IT,Cyperaceae,Carex,olbiensis,Jordan,Carex olbiensis,
C ORNITH,B4,,,,,Carex ornithopoda,
C OVALIS,B4,,,,,Carex ovalis,
C PALLES,B4,,,,,Carex pallescens,
C PANICE,B4,,,,,Carex panicea,
C PAUCIF,B4,,,,,Carex pauciflora,
C PENDUL,B4,,,,,Carex pendula,
C PILULI,B4,,,,,Carex pilulifera,
C PRAECO,B4,,,,,Carex praecox,
C REMOTA,B4,,,,,Carex remota,
C ROSTRA,B4,,,,,Carex rostrata,
C SPICAT,B4,,,,,Carex spicata,
C SYLVAT,B4,,,,,Carex sylvatica,
C TUMIDI,B4,,,,,Carex tumidicarpa,
C VAGINA,B4,,,,,Carex vaginata,
CALA ARU,B4,,,,,Calamagrostis arundinacea,
CALA CAN,B4,,,,,Calamagrostis canescens,
CALA EPI,B4,,,,,Calamagrostis epigeios,
CALA LAP,B4,,,,,Calamagrostis lapponica,
CALA PUR,B4,,,,,Calamagrostis purpurea,
CALA VAR,B4,,,,,Calamagrostis varia,
CALA VIL,BX_IT,Poaceae,Calamagrostis,villosa,(Chaix) J.F. Gmelin,Calamagrostis villosa,
CALAMAGZ,B4,,,,,CALAMAGROSTIS SP.,
CALL PST,B4,,,,,Calla palustris,
CALL VUL,B4,,,,,Calluna vulgaris,
CALT PAL,B4,,,,,Caltha palustris,
CALYCSTI,BX_AT,,,,,Calycocorsus stipitatus,
CAMCESP,BX_AT,,,,,Campanula cespitosa,
CAMP BAR,B4,,,,,Campanula barbata,
CAMP GLO,B4,,,,,Campanula glomerata,
CAMP PAT,B4,,,,,Campanula patula,
CAMP PER,B4,,,,,Campanula persicifolia,
CAMP RAU,B4,,,,,Campanula rapunculus,
CAMP ROI,B4,,,,,Campanula rapunculoides,
CAMP ROT,B4,,,,,Campanula rotundifolia,
CAMP SCH,B4,,,,,Campanula scheuchzeri,nicht in B4
